case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
54889,389.3000,20.000126,20.194184,50.000000,389.2000,20.000209,20.193264,50.000000,389.1000,20.000716,20.192576,50.000000,389.1000,20.000503,20.192461,50.000000,0.000376888,0.000294532,0.000212602,0.00172301,0.00080383,0.000115714,0.2,0.1,0,0,0,0
51715,415.6000,20.000828,13.755900,42.747148,415.5000,20.000932,13.754649,42.742676,415.5000,20.000513,13.754257,42.739559,415.5000,20.000303,13.754062,42.738000,0.00052528,0.000629444,0.000209812,0.00183787,0.000587292,0.000195784,0.1,0,0,0.00914794,0.00467594,0.00155919
53201,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
16738,1627.6000,20.000608,14.085804,46.350743,1627.5000,20.000843,14.084821,46.348567,1627.5000,20.000456,14.084570,46.344308,1627.5000,20.000263,14.084444,46.341452,0.000345285,0.000580083,0.00019336,0.00136014,0.000377495,0.000125838,0.1,0,0,0.00929112,0.00711503,0.0028556
41028,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41732,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14937,780.4000,20.000927,16.274615,50.000000,780.4000,20.000096,16.274055,50.000000,780.3000,20.000631,16.273305,50.000000,780.3000,20.000423,16.273165,50.000000,0.000504554,0.000326932,0.000207965,0.00145028,0.000890253,0.000140113,0.1,0.1,0,0,0,0
27911,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
50915,821.0000,22.999177,10.343661,33.693211,820.9000,22.999195,10.342478,33.681333,820.8000,22.999669,10.341644,33.676126,820.8000,22.999441,10.341469,33.671875,0.000263448,0.000245732,0.000227993,0.00219119,0.00100828,0.000174923,0.2,0.1,0,0.0213362,0.00945799,0.00425101
9325,388.4000,20.000808,15.108031,46.948448,388.3000,20.000891,15.106845,46.946454,388.3000,20.000468,15.106484,46.929413,388.3000,20.000256,15.106303,46.928093,0.000551753,0.000634758,0.000211595,0.00172805,0.000541948,0.000180689,0.1,0,0,0.020355,0.0183615,0.00131973
